run_id,base_model,dataset,lr,epochs,lora_r,lora_alpha,lora_dropout,max_len,batch_size,grad_accum,seed,target_modules,weight_decay
0,meta-llama/Llama-3.2-3B,arc-challenge,0.0001765558456910705,3,8,16,0.08585979199113825,512,8,8,942484272,"q_proj,v_proj",0.0697368029059364
1,meta-llama/Llama-3.2-3B,arc-challenge,7.71480050275986e-06,3,8,16,0.0761139701990353,512,8,8,2095133045,"q_proj,v_proj",0.07860643052769539
2,meta-llama/Llama-3.2-3B,arc-challenge,9.019807515033924e-06,4,8,16,0.037079802423258125,512,8,8,967196436,"q_proj,v_proj",0.09267649888486018
3,meta-llama/Llama-3.2-3B,arc-challenge,9.698403402033836e-05,2,8,16,0.044341419882733116,512,8,8,1766867109,"q_proj,v_proj",0.02272387217847769
4,meta-llama/Llama-3.2-3B,arc-challenge,6.428943046052335e-05,4,8,16,0.08276311719925822,512,8,8,137046513,"q_proj,v_proj",0.06316643991220648
5,meta-llama/Llama-3.2-3B,arc-challenge,0.00016411394471792882,3,8,16,0.09706980243949033,512,8,8,761338718,"q_proj,v_proj",0.08931211213221978
6,meta-llama/Llama-3.2-3B,arc-challenge,0.00018019261938423924,4,8,16,0.04667210037270342,512,8,8,417983441,"q_proj,v_proj",0.004380376578722878
7,meta-llama/Llama-3.2-3B,arc-challenge,1.0175341376835727e-05,3,8,16,0.07447621559078171,512,8,8,1466836456,"q_proj,v_proj",0.09675097324342101
8,meta-llama/Llama-3.2-3B,arc-challenge,2.241923145393175e-05,4,8,16,0.046955581127580796,512,8,8,795556160,"q_proj,v_proj",0.018947135908428572
9,meta-llama/Llama-3.2-3B,arc-challenge,9.095215948364839e-06,3,8,16,0.022690934905088413,512,8,8,1021568549,"q_proj,v_proj",0.06698139946825103
10,meta-llama/Llama-3.2-3B,arc-challenge,3.74346556104326e-05,1,8,16,0.07002651020022492,512,8,8,1788162809,"q_proj,v_proj",0.03123666413820411
11,meta-llama/Llama-3.2-3B,arc-challenge,0.00023093491944330626,2,8,16,0.038747837903017446,512,8,8,1728218297,"q_proj,v_proj",0.028832810393024412
12,meta-llama/Llama-3.2-3B,arc-challenge,0.00011586733344503748,3,8,16,0.019990820247510834,512,8,8,300116172,"q_proj,v_proj",0.0007362269751005513
13,meta-llama/Llama-3.2-3B,arc-challenge,0.00018742121947815674,4,8,16,0.07051653786263351,512,8,8,1427756341,"q_proj,v_proj",0.07807290310219679
14,meta-llama/Llama-3.2-3B,arc-challenge,4.138105468641694e-05,3,8,16,0.013979699812765745,512,8,8,1221362417,"q_proj,v_proj",0.011453007353597345
15,meta-llama/Llama-3.2-3B,arc-challenge,0.0001085865232285225,3,8,16,0.05652361064811889,512,8,8,1011671398,"q_proj,v_proj",0.07649988574160256
16,meta-llama/Llama-3.2-3B,arc-challenge,9.298366161880926e-05,3,8,16,0.055920716074541355,512,8,8,1188802709,"q_proj,v_proj",0.03039500980626122
17,meta-llama/Llama-3.2-3B,arc-challenge,5.762430141983539e-06,2,8,16,0.02145846728195292,512,8,8,937843451,"q_proj,v_proj",0.04085286437246362
18,meta-llama/Llama-3.2-3B,arc-challenge,0.0002545517873878821,1,8,16,0.005830274168906602,512,8,8,502381220,"q_proj,v_proj",0.028138389202199656
19,meta-llama/Llama-3.2-3B,arc-challenge,1.932669174628061e-05,2,8,16,0.055703215234127836,512,8,8,1421454890,"q_proj,v_proj",0.07838982091064135
20,meta-llama/Llama-3.2-3B,arc-challenge,0.00010656070497195303,2,8,16,0.08140203846660347,512,8,8,872709139,"q_proj,v_proj",0.016697291990770392
21,meta-llama/Llama-3.2-3B,arc-challenge,5.551293004967341e-06,1,8,16,0.07223593505964503,512,8,8,193376308,"q_proj,v_proj",0.04618772302513874
22,meta-llama/Llama-3.2-3B,arc-challenge,1.05078426886165e-05,4,8,16,0.015231210271316842,512,8,8,1075985460,"q_proj,v_proj",0.06963203750777361
23,meta-llama/Llama-3.2-3B,arc-challenge,3.9019576861772136e-05,1,8,16,0.030151208914787654,512,8,8,818236852,"q_proj,v_proj",0.06302825931188885
24,meta-llama/Llama-3.2-3B,arc-challenge,2.646032812673375e-05,4,8,16,0.011800590212051532,512,8,8,188226767,"q_proj,v_proj",0.09618976645495146
25,meta-llama/Llama-3.2-3B,arc-challenge,0.000328194565771501,2,8,16,0.02658699614595196,512,8,8,1502609627,"q_proj,v_proj",0.0969176377347724
26,meta-llama/Llama-3.2-3B,arc-challenge,0.0001804977581887089,2,8,16,0.04493615021437887,512,8,8,1539509957,"q_proj,v_proj",0.027224156184515902
27,meta-llama/Llama-3.2-3B,arc-challenge,7.793847945419058e-06,2,8,16,0.04557762898336111,512,8,8,1938323886,"q_proj,v_proj",0.020236336479523033
28,meta-llama/Llama-3.2-3B,arc-challenge,2.045894583905429e-05,4,8,16,0.01767727829392317,512,8,8,1243864551,"q_proj,v_proj",0.08566142840923756
29,meta-llama/Llama-3.2-3B,arc-challenge,0.00016444060426733714,2,8,16,0.043209303977510376,512,8,8,1545034932,"q_proj,v_proj",0.06273088407024432
30,meta-llama/Llama-3.2-3B,arc-challenge,7.364884529920709e-05,1,8,16,0.008444432113988909,512,8,8,1395534949,"q_proj,v_proj",0.041580740217060964
31,meta-llama/Llama-3.2-3B,arc-challenge,6.056174106944886e-06,1,8,16,0.032986121233278536,512,8,8,1060837206,"q_proj,v_proj",0.01445241888660469
