run_id,base_model,dataset,lr,epochs,lora_r,lora_alpha,lora_dropout,max_len,batch_size,grad_accum,seed,target_modules,weight_decay
0,meta-llama/Llama-3.2-3B,boolq,0.00010082506942881618,2,8,16,0.0020029586874216855,512,8,8,94006791,"q_proj,v_proj",0.08392125825110301
1,meta-llama/Llama-3.2-3B,boolq,7.468890622732108e-05,4,8,16,0.07517922718186155,512,8,8,482550806,"q_proj,v_proj",0.026369219747837472
2,meta-llama/Llama-3.2-3B,boolq,3.458802974344016e-05,3,8,16,0.09553145792212377,512,8,8,968582527,"q_proj,v_proj",0.08919016691830428
3,meta-llama/Llama-3.2-3B,boolq,1.8039980151521142e-05,4,8,16,0.04219995748472628,512,8,8,598147849,"q_proj,v_proj",0.00040777249859886845
4,meta-llama/Llama-3.2-3B,boolq,2.0740419669760374e-05,3,8,16,0.08382047782684794,512,8,8,2043876186,"q_proj,v_proj",0.0535128257097604
5,meta-llama/Llama-3.2-3B,boolq,4.676781674216506e-05,4,8,16,0.059317418746416384,512,8,8,2029644089,"q_proj,v_proj",0.09428679185687104
6,meta-llama/Llama-3.2-3B,boolq,0.0004951462484308949,1,8,16,0.011856060209234687,512,8,8,72509042,"q_proj,v_proj",0.07611988379768471
7,meta-llama/Llama-3.2-3B,boolq,8.938094506145986e-06,1,8,16,0.030001928979647197,512,8,8,734101941,"q_proj,v_proj",0.055104509058972295
8,meta-llama/Llama-3.2-3B,boolq,6.312618284677571e-06,3,8,16,0.05554165621613222,512,8,8,968451514,"q_proj,v_proj",0.011917052432185871
9,meta-llama/Llama-3.2-3B,boolq,2.408907791764161e-05,4,8,16,0.03039651105723884,512,8,8,1083516629,"q_proj,v_proj",0.041783633515312814
10,meta-llama/Llama-3.2-3B,boolq,3.373587723639973e-05,2,8,16,0.05879964005893182,512,8,8,200389949,"q_proj,v_proj",0.0074055861572391414
11,meta-llama/Llama-3.2-3B,boolq,7.244507529201816e-05,4,8,16,0.05391238176553122,512,8,8,177965224,"q_proj,v_proj",0.0850768982929157
12,meta-llama/Llama-3.2-3B,boolq,1.8904383761927964e-05,2,8,16,0.03204800922364666,512,8,8,177693226,"q_proj,v_proj",0.04244991934873933
13,meta-llama/Llama-3.2-3B,boolq,8.381103768507589e-05,4,8,16,0.0003961363723618883,512,8,8,325412127,"q_proj,v_proj",0.08430823134268059
