run_id,base_model,dataset,lr,epochs,lora_r,lora_alpha,lora_dropout,max_len,batch_size,grad_accum,seed,target_modules,weight_decay
0,meta-llama/Llama-3.2-3B,gsm8k,8.792270149897124e-06,4,8,16,0.040577072782113116,512,8,8,554293606,"q_proj,v_proj",0.0969183948144422
1,meta-llama/Llama-3.2-3B,gsm8k,1.055854934460771e-05,4,8,16,0.01630452710710655,512,8,8,1841024144,"q_proj,v_proj",0.03379619489659174
2,meta-llama/Llama-3.2-3B,gsm8k,0.00011334846394167849,3,8,16,0.09549361640684995,512,8,8,1323997050,"q_proj,v_proj",0.04114007808673739
3,meta-llama/Llama-3.2-3B,gsm8k,0.0003786636600091682,4,8,16,0.07155717419428656,512,8,8,1990177662,"q_proj,v_proj",0.0019462110803344147
4,meta-llama/Llama-3.2-3B,gsm8k,0.0001966838063521039,1,8,16,0.052386281977956244,512,8,8,1934357037,"q_proj,v_proj",0.019716268890848355
5,meta-llama/Llama-3.2-3B,gsm8k,1.1496257044962753e-05,3,8,16,0.00872410933144666,512,8,8,1815472236,"q_proj,v_proj",0.05462064290634059
6,meta-llama/Llama-3.2-3B,gsm8k,1.2759033300745072e-05,1,8,16,0.09771544765304353,512,8,8,646994598,"q_proj,v_proj",0.027662511355431088
7,meta-llama/Llama-3.2-3B,gsm8k,0.00011640998931707939,2,8,16,0.028823226635713663,512,8,8,1647947099,"q_proj,v_proj",0.014655955097277929
8,meta-llama/Llama-3.2-3B,gsm8k,0.00017510203211562,3,8,16,0.028787960061680797,512,8,8,974140203,"q_proj,v_proj",0.021162282004655076
9,meta-llama/Llama-3.2-3B,gsm8k,0.0004636744605509941,3,8,16,0.05230638924619144,512,8,8,1387933527,"q_proj,v_proj",0.011419550854996519
10,meta-llama/Llama-3.2-3B,gsm8k,0.00033408593690701185,3,8,16,0.07907410570420037,512,8,8,714654288,"q_proj,v_proj",0.09053367527791867
11,meta-llama/Llama-3.2-3B,gsm8k,1.2902131938672935e-05,4,8,16,0.08941978940663303,512,8,8,2100127598,"q_proj,v_proj",0.05661261830359754
12,meta-llama/Llama-3.2-3B,gsm8k,0.00014047477161659914,3,8,16,0.07237042640639514,512,8,8,595699317,"q_proj,v_proj",0.04311337134250588
13,meta-llama/Llama-3.2-3B,gsm8k,2.2384707293838425e-05,1,8,16,0.03831278308783803,512,8,8,1496520797,"q_proj,v_proj",0.0704514892740968
14,meta-llama/Llama-3.2-3B,gsm8k,0.00025236532732288787,3,8,16,0.02064993043136916,512,8,8,581580138,"q_proj,v_proj",0.03203659000208129
15,meta-llama/Llama-3.2-3B,gsm8k,3.519400202094799e-05,4,8,16,0.04374841751202149,512,8,8,1564278195,"q_proj,v_proj",0.06934672958787266
16,meta-llama/Llama-3.2-3B,gsm8k,0.0004894872419161071,1,8,16,0.07584261967294689,512,8,8,501896484,"q_proj,v_proj",0.0476787376021111
17,meta-llama/Llama-3.2-3B,gsm8k,3.4300743572256495e-05,4,8,16,0.011815936765827218,512,8,8,1292053286,"q_proj,v_proj",0.03153659902502198
18,meta-llama/Llama-3.2-3B,gsm8k,1.7655199717227978e-05,2,8,16,0.022499089303164854,512,8,8,1310889447,"q_proj,v_proj",0.004739082703567344
19,meta-llama/Llama-3.2-3B,gsm8k,6.029269406672548e-06,2,8,16,0.06838208148172836,512,8,8,1663313147,"q_proj,v_proj",0.08495622461655605
20,meta-llama/Llama-3.2-3B,gsm8k,0.00011306847516595402,1,8,16,0.07011315469487693,512,8,8,112207975,"q_proj,v_proj",0.05469941118744473
21,meta-llama/Llama-3.2-3B,gsm8k,0.00041932967961919493,4,8,16,0.007780972421372757,512,8,8,493464469,"q_proj,v_proj",0.0832890481734338
22,meta-llama/Llama-3.2-3B,gsm8k,3.502245137137343e-05,2,8,16,0.07169573795497922,512,8,8,1009249205,"q_proj,v_proj",0.0182910591262229
23,meta-llama/Llama-3.2-3B,gsm8k,3.990439732905867e-05,3,8,16,0.05940841684476167,512,8,8,1722981289,"q_proj,v_proj",0.09031709654302933
24,meta-llama/Llama-3.2-3B,gsm8k,0.00026898702567322634,3,8,16,0.07957597450589267,512,8,8,587328607,"q_proj,v_proj",0.0636144073010176
25,meta-llama/Llama-3.2-3B,gsm8k,8.732703476502811e-06,2,8,16,0.07537756518289568,512,8,8,566127062,"q_proj,v_proj",0.08459481717335486
26,meta-llama/Llama-3.2-3B,gsm8k,1.0214473763679128e-05,3,8,16,0.032589260031936206,512,8,8,1512028918,"q_proj,v_proj",0.018351358010210327
27,meta-llama/Llama-3.2-3B,gsm8k,7.872413865678819e-06,4,8,16,0.046296161467357815,512,8,8,212020439,"q_proj,v_proj",0.011611247616880517
28,meta-llama/Llama-3.2-3B,gsm8k,8.146546993680068e-05,3,8,16,0.042251124537066524,512,8,8,1771851877,"q_proj,v_proj",0.06196715112042944
29,meta-llama/Llama-3.2-3B,gsm8k,0.0002352940075340531,4,8,16,0.031353387690621896,512,8,8,1769695881,"q_proj,v_proj",0.056573410108272104
30,meta-llama/Llama-3.2-3B,gsm8k,4.4575590859037206e-05,3,8,16,0.019976949753423248,512,8,8,257395680,"q_proj,v_proj",0.008434139692005894
31,meta-llama/Llama-3.2-3B,gsm8k,1.3914449218620744e-05,3,8,16,0.09069293420858948,512,8,8,2057044015,"q_proj,v_proj",0.08233654953758163
32,meta-llama/Llama-3.2-3B,gsm8k,0.0002465710687529138,3,8,16,0.018815888651052527,512,8,8,1974528374,"q_proj,v_proj",0.05805292588396891
33,meta-llama/Llama-3.2-3B,gsm8k,2.83167540689859e-05,2,8,16,0.013681758421614176,512,8,8,413462655,"q_proj,v_proj",0.08684733045539016
34,meta-llama/Llama-3.2-3B,gsm8k,9.454376675031642e-05,4,8,16,0.08910292966289082,512,8,8,1520843413,"q_proj,v_proj",0.01886132530990723
35,meta-llama/Llama-3.2-3B,gsm8k,0.00048410280015318094,2,8,16,0.03440181453461375,512,8,8,1055051864,"q_proj,v_proj",0.09374042414673561
36,meta-llama/Llama-3.2-3B,gsm8k,1.6603193547332356e-05,3,8,16,0.01621016185477071,512,8,8,1845447550,"q_proj,v_proj",0.06004953672444755
37,meta-llama/Llama-3.2-3B,gsm8k,8.704028432281794e-05,4,8,16,0.06110373715313631,512,8,8,714034164,"q_proj,v_proj",0.09401318529783588
38,meta-llama/Llama-3.2-3B,gsm8k,2.7911205829584128e-05,3,8,16,0.0457808531763709,512,8,8,256090493,"q_proj,v_proj",0.010238752803168017
39,meta-llama/Llama-3.2-3B,gsm8k,0.0001036056154151503,1,8,16,0.0035405740500210284,512,8,8,1588225874,"q_proj,v_proj",0.08308391773149082
40,meta-llama/Llama-3.2-3B,gsm8k,0.0001175184997554579,1,8,16,0.0005787867712011008,512,8,8,957649457,"q_proj,v_proj",0.017868166058270362
41,meta-llama/Llama-3.2-3B,gsm8k,4.069020890425178e-05,1,8,16,0.004562509851300511,512,8,8,1744986810,"q_proj,v_proj",0.06970253583765869
42,meta-llama/Llama-3.2-3B,gsm8k,5.412949997638643e-06,4,8,16,0.02843735825236863,512,8,8,1142162121,"q_proj,v_proj",0.07794409808179925
43,meta-llama/Llama-3.2-3B,gsm8k,1.0187271447851898e-05,2,8,16,0.07576624126145001,512,8,8,1825432143,"q_proj,v_proj",0.09757928482156109
44,meta-llama/Llama-3.2-3B,gsm8k,6.202285604544307e-05,3,8,16,0.07427974488987313,512,8,8,473490031,"q_proj,v_proj",0.05358197977325616
45,meta-llama/Llama-3.2-3B,gsm8k,5.52597355839667e-06,1,8,16,0.02396924523192171,512,8,8,388442295,"q_proj,v_proj",0.06912993505178076
46,meta-llama/Llama-3.2-3B,gsm8k,0.0003057174317644315,2,8,16,0.045127337720832196,512,8,8,358498948,"q_proj,v_proj",0.06311441123923461
47,meta-llama/Llama-3.2-3B,gsm8k,0.00023931890370916035,2,8,16,0.04684067747591151,512,8,8,1881878639,"q_proj,v_proj",0.017259795302768666
48,meta-llama/Llama-3.2-3B,gsm8k,1.2302356893427316e-05,2,8,16,0.05035996805306643,512,8,8,1376896627,"q_proj,v_proj",0.006129101983969699
49,meta-llama/Llama-3.2-3B,gsm8k,0.00040169203587225687,4,8,16,0.08120344600256157,512,8,8,1417475833,"q_proj,v_proj",0.03741007824211027
50,meta-llama/Llama-3.2-3B,gsm8k,4.590959947734881e-05,2,8,16,0.019203049020148102,512,8,8,742336833,"q_proj,v_proj",0.09167593456994899
51,meta-llama/Llama-3.2-3B,gsm8k,0.0002735387949731717,3,8,16,0.03414716118892058,512,8,8,1208007724,"q_proj,v_proj",0.02918043572728183
52,meta-llama/Llama-3.2-3B,gsm8k,9.13927542263009e-06,1,8,16,0.004468525215542008,512,8,8,1509088036,"q_proj,v_proj",0.06051692210078413
53,meta-llama/Llama-3.2-3B,gsm8k,0.00015939813768384766,3,8,16,0.06253692718020415,512,8,8,11801122,"q_proj,v_proj",0.0629156070306535
54,meta-llama/Llama-3.2-3B,gsm8k,7.47348314258847e-06,3,8,16,0.020937190048159894,512,8,8,1555793012,"q_proj,v_proj",0.044522093126358867
55,meta-llama/Llama-3.2-3B,gsm8k,1.7069654396295753e-05,1,8,16,0.07874028240885747,512,8,8,230995193,"q_proj,v_proj",0.06734913272816626
56,meta-llama/Llama-3.2-3B,gsm8k,0.00019445762006881673,3,8,16,0.027614496871878814,512,8,8,967223729,"q_proj,v_proj",0.06895477378080211
57,meta-llama/Llama-3.2-3B,gsm8k,2.5994996925807472e-05,1,8,16,0.013521789840862853,512,8,8,1475187633,"q_proj,v_proj",0.034959149603257036
58,meta-llama/Llama-3.2-3B,gsm8k,0.00024261894089200285,1,8,16,0.020398902996932457,512,8,8,562285762,"q_proj,v_proj",0.038661085215302364
59,meta-llama/Llama-3.2-3B,gsm8k,3.0986158933784154e-05,2,8,16,0.04620079835175736,512,8,8,274610610,"q_proj,v_proj",0.025319880724732416
60,meta-llama/Llama-3.2-3B,gsm8k,0.00048013419656712624,2,8,16,0.025760775404016268,512,8,8,947964015,"q_proj,v_proj",0.00507994637248711
61,meta-llama/Llama-3.2-3B,gsm8k,0.00020775408787103533,1,8,16,0.023363766191220915,512,8,8,957699800,"q_proj,v_proj",0.023025093119117403
62,meta-llama/Llama-3.2-3B,gsm8k,0.00013717978360510297,1,8,16,0.042821732678873826,512,8,8,1214387342,"q_proj,v_proj",0.012650731325497877
63,meta-llama/Llama-3.2-3B,gsm8k,7.77005757291916e-06,4,8,16,0.010237093367049999,512,8,8,787119603,"q_proj,v_proj",0.0007212199374951545
64,meta-llama/Llama-3.2-3B,gsm8k,0.00019288548488366938,4,8,16,0.07824085953134663,512,8,8,362971647,"q_proj,v_proj",0.03160618597994187
65,meta-llama/Llama-3.2-3B,gsm8k,4.4216326949060454e-05,4,8,16,0.06031785042714233,512,8,8,1712695488,"q_proj,v_proj",0.04630452091570733
66,meta-llama/Llama-3.2-3B,gsm8k,1.829532536560739e-05,4,8,16,0.07382741157854258,512,8,8,123673892,"q_proj,v_proj",0.08198668152272225
67,meta-llama/Llama-3.2-3B,gsm8k,1.7566295418012055e-05,2,8,16,0.08245846944779911,512,8,8,614061617,"q_proj,v_proj",0.0013918485790998414
68,meta-llama/Llama-3.2-3B,gsm8k,6.006791345455929e-06,4,8,16,0.038018017381036995,512,8,8,1809175267,"q_proj,v_proj",0.03737963238586021
69,meta-llama/Llama-3.2-3B,gsm8k,2.3524734150641914e-05,3,8,16,0.06834628383380707,512,8,8,603719321,"q_proj,v_proj",0.011997945351362994
70,meta-llama/Llama-3.2-3B,gsm8k,0.00027821187897675444,2,8,16,0.0803731234324621,512,8,8,2133826126,"q_proj,v_proj",0.02172006266472533
71,meta-llama/Llama-3.2-3B,gsm8k,0.0001616066810619496,1,8,16,0.01143193444299645,512,8,8,1812813049,"q_proj,v_proj",0.061207227236174215
72,meta-llama/Llama-3.2-3B,gsm8k,9.392637064649832e-06,3,8,16,0.0170532164148278,512,8,8,1397628043,"q_proj,v_proj",0.01090742759373461
73,meta-llama/Llama-3.2-3B,gsm8k,2.6242934643072135e-05,2,8,16,0.06006267077221347,512,8,8,688971598,"q_proj,v_proj",0.052427016025804386
74,meta-llama/Llama-3.2-3B,gsm8k,0.00020144765411345852,3,8,16,0.0068759589934135786,512,8,8,679176665,"q_proj,v_proj",0.07196983506091059
75,meta-llama/Llama-3.2-3B,gsm8k,2.0571437911323855e-05,3,8,16,0.013507082851247167,512,8,8,996948809,"q_proj,v_proj",0.013820065226592515
76,meta-llama/Llama-3.2-3B,gsm8k,3.3367752440405346e-05,4,8,16,0.008638251255044282,512,8,8,1847066710,"q_proj,v_proj",0.0479692292115823
77,meta-llama/Llama-3.2-3B,gsm8k,8.54717915896316e-06,1,8,16,0.08471308150198048,512,8,8,684628493,"q_proj,v_proj",0.08478603487689969
78,meta-llama/Llama-3.2-3B,gsm8k,1.6326228031279253e-05,4,8,16,0.05885409104412617,512,8,8,1899606093,"q_proj,v_proj",0.05502625194812438
79,meta-llama/Llama-3.2-3B,gsm8k,0.00044133627501196173,1,8,16,0.04157374964697678,512,8,8,1350130878,"q_proj,v_proj",0.04783207169656553
80,meta-llama/Llama-3.2-3B,gsm8k,0.0004502430965404269,2,8,16,0.024851944189715404,512,8,8,974897606,"q_proj,v_proj",0.048810483045423715
81,meta-llama/Llama-3.2-3B,gsm8k,1.3408971153014605e-05,3,8,16,0.08592600033020126,512,8,8,1152660735,"q_proj,v_proj",0.005085385311251045
82,meta-llama/Llama-3.2-3B,gsm8k,1.20832292970708e-05,4,8,16,0.018339328237100695,512,8,8,1599325894,"q_proj,v_proj",0.020558074658291226
83,meta-llama/Llama-3.2-3B,gsm8k,7.544487950581513e-05,3,8,16,0.0031447622188449324,512,8,8,1062377367,"q_proj,v_proj",0.012513323459440229
84,meta-llama/Llama-3.2-3B,gsm8k,0.0001742197765504346,2,8,16,0.02675860128084763,512,8,8,952583863,"q_proj,v_proj",0.026482278233846537
85,meta-llama/Llama-3.2-3B,gsm8k,0.00011371655353950469,1,8,16,0.07069127434240961,512,8,8,1448155118,"q_proj,v_proj",0.06508395422530322
86,meta-llama/Llama-3.2-3B,gsm8k,4.535927405523364e-05,2,8,16,0.027050721767406374,512,8,8,874297563,"q_proj,v_proj",0.022275659108784797
87,meta-llama/Llama-3.2-3B,gsm8k,0.00032676924569366434,2,8,16,0.06835342611304733,512,8,8,79338144,"q_proj,v_proj",0.02263867909770925
88,meta-llama/Llama-3.2-3B,gsm8k,4.1698108048525306e-05,3,8,16,0.09586301492456317,512,8,8,2030200477,"q_proj,v_proj",0.024771424042021296
89,meta-llama/Llama-3.2-3B,gsm8k,6.214035048875458e-06,1,8,16,0.0669184403121177,512,8,8,2085178361,"q_proj,v_proj",0.08301487125765382
90,meta-llama/Llama-3.2-3B,gsm8k,0.00022834342518534168,3,8,16,0.06036775431919647,512,8,8,961993743,"q_proj,v_proj",0.02216749948506427
91,meta-llama/Llama-3.2-3B,gsm8k,1.5300050694491627e-05,3,8,16,0.08732829629461196,512,8,8,1121962497,"q_proj,v_proj",0.03944958038358797
