run_id,base_model,dataset,lr,epochs,lora_r,lora_alpha,lora_dropout,max_len,batch_size,grad_accum,seed,target_modules,weight_decay
0,meta-llama/Llama-3.2-3B,mbpp,7.002148520703063e-05,3,8,16,0.07636502398019261,512,8,8,1134926091,"q_proj,v_proj",0.0811692767009607
1,meta-llama/Llama-3.2-3B,mbpp,5.2411635826597146e-05,2,8,16,0.07961133044600448,512,8,8,1673619201,"q_proj,v_proj",0.059475500434086774
2,meta-llama/Llama-3.2-3B,mbpp,3.281905699604797e-05,3,8,16,0.06274678298535875,512,8,8,1441555176,"q_proj,v_proj",0.08400823557331748
3,meta-llama/Llama-3.2-3B,mbpp,0.00014037733115056385,4,8,16,0.09640659218589635,512,8,8,1136058379,"q_proj,v_proj",0.04687542071303888
4,meta-llama/Llama-3.2-3B,mbpp,0.00020949899175468534,4,8,16,0.06298429326531005,512,8,8,1858167928,"q_proj,v_proj",0.004691164378183033
5,meta-llama/Llama-3.2-3B,mbpp,6.43790610462997e-06,2,8,16,0.07023094660641395,512,8,8,257440143,"q_proj,v_proj",0.0044075582738020815
6,meta-llama/Llama-3.2-3B,mbpp,0.00012571398131216928,4,8,16,0.036937175573015284,512,8,8,901675632,"q_proj,v_proj",0.01539251348150461
7,meta-llama/Llama-3.2-3B,mbpp,8.16042223148294e-06,1,8,16,0.07778102930891344,512,8,8,269272070,"q_proj,v_proj",0.017457597932030146
8,meta-llama/Llama-3.2-3B,mbpp,0.0001313481996821438,2,8,16,0.05228866165125306,512,8,8,1507267076,"q_proj,v_proj",0.09603963570842422
9,meta-llama/Llama-3.2-3B,mbpp,2.7901183629339137e-05,1,8,16,0.049541207985438124,512,8,8,76112044,"q_proj,v_proj",0.020252996365947296
10,meta-llama/Llama-3.2-3B,mbpp,8.864036248330086e-06,2,8,16,0.035843622426614465,512,8,8,2131362825,"q_proj,v_proj",0.069219624247771
11,meta-llama/Llama-3.2-3B,mbpp,1.3170726024455815e-05,4,8,16,0.09747610633254469,512,8,8,29141950,"q_proj,v_proj",0.07233167299890321
12,meta-llama/Llama-3.2-3B,mbpp,0.00012980034708835275,3,8,16,0.03191302529322824,512,8,8,1757523697,"q_proj,v_proj",0.04363068654119722
13,meta-llama/Llama-3.2-3B,mbpp,2.8109104348836993e-05,4,8,16,0.03159870206437968,512,8,8,1877521230,"q_proj,v_proj",0.03405552092638441
14,meta-llama/Llama-3.2-3B,mbpp,0.0001586458126129124,4,8,16,0.05302470386198452,512,8,8,1314592844,"q_proj,v_proj",0.014124201628981203
15,meta-llama/Llama-3.2-3B,mbpp,2.9175851669001783e-05,2,8,16,0.00967885073073529,512,8,8,1931176753,"q_proj,v_proj",0.08120834195214559
16,meta-llama/Llama-3.2-3B,mbpp,0.00011288038071010987,2,8,16,0.08033008847736639,512,8,8,245049478,"q_proj,v_proj",0.05011846618832581
17,meta-llama/Llama-3.2-3B,mbpp,3.284177116334028e-05,1,8,16,0.029664688331826464,512,8,8,1337495551,"q_proj,v_proj",0.007618050782003616
18,meta-llama/Llama-3.2-3B,mbpp,1.4643709650764681e-05,3,8,16,0.0416301319152799,512,8,8,390231300,"q_proj,v_proj",0.05149741754630854
19,meta-llama/Llama-3.2-3B,mbpp,1.5498217869154724e-05,4,8,16,0.03632054423145801,512,8,8,1694363772,"q_proj,v_proj",0.061289948275625616
20,meta-llama/Llama-3.2-3B,mbpp,0.00012177186031371234,1,8,16,0.01595350650431945,512,8,8,1660043664,"q_proj,v_proj",0.03093462114144914
21,meta-llama/Llama-3.2-3B,mbpp,0.0002243864310340406,3,8,16,0.05168638217765055,512,8,8,1515349142,"q_proj,v_proj",0.09119326580106007
